timestamp_seconds,frame_number,violation_type,overall_status,risk_score,risk_level,motion_ratio,frame_difference_score,brightness,latency_ms
1.08,18,Camera Blocked,Violation,50,High,0.0,0.0,30.31,130.34
1.14,19,Camera Blocked,Violation,50,High,0.0,0.0,30.27,244.53
1.2,20,Camera Blocked,Violation,50,High,0.0,0.0,30.06,209.03
1.26,21,Camera Blocked,Violation,50,High,0.0,0.0,28.85,109.88
1.32,22,Camera Blocked,Violation,50,High,0.0,0.0,27.75,68.04
1.38,23,Camera Blocked,Violation,50,High,0.0,0.0,27.24,75.72
1.44,24,Camera Blocked,Violation,50,High,0.0,0.0,26.59,65.15
1.5,25,Camera Blocked,Violation,50,High,0.0,0.0,25.93,68.49
1.56,26,Camera Blocked,Violation,50,High,0.0,0.0,25.4,67.92
1.62,27,Camera Blocked,Violation,50,High,0.0,0.0,25.02,84.03
1.68,28,Camera Blocked,Violation,50,High,0.0,0.0,24.54,68.87
1.74,29,Camera Blocked,Violation,50,High,0.0,0.0,23.96,68.19
1.8,30,Camera Blocked,Violation,50,High,0.0,0.0,23.48,71.9
1.86,31,Camera Blocked,Violation,50,High,0.0,0.0,22.97,68.02
1.92,32,Camera Blocked,Violation,50,High,0.0,0.0,22.52,68.66
1.98,33,Camera Blocked,Violation,50,High,0.0,0.0,22.16,71.47
2.04,34,Camera Blocked,Violation,50,High,0.0,0.0,21.74,73.63
2.1,35,Camera Blocked,Violation,50,High,0.0,0.0,21.56,75.22
2.16,36,Camera Blocked,Violation,50,High,0.0,0.0,21.07,70.41
2.22,37,Camera Blocked,Violation,50,High,0.0,0.0,21.03,67.17
2.28,38,Camera Blocked,Violation,50,High,0.0,0.0,20.9,71.44
2.34,39,Camera Blocked,Violation,50,High,0.0,0.0,20.91,68.46
2.4,40,Camera Blocked,Violation,50,High,0.0,0.0,20.94,111.2
2.46,41,Camera Blocked,Violation,50,High,0.0,0.0,20.98,117.83
2.52,42,Camera Blocked,Violation,50,High,0.0,0.0,20.82,120.29
2.58,43,Camera Blocked,Violation,50,High,0.0,0.0,20.6,116.46
2.65,44,Camera Blocked,Violation,50,High,0.0,0.0,20.28,119.85
2.71,45,Camera Blocked,Violation,50,High,0.0,0.0,19.2,112.57
2.77,46,Camera Blocked,Violation,50,High,0.0,0.0,18.94,129.11
2.83,47,Camera Blocked,Violation,50,High,0.0,0.0,18.58,115.96
2.89,48,Camera Blocked,Violation,50,High,0.0,0.0,18.34,125.66
2.95,49,Camera Blocked,Violation,50,High,0.0,0.0,18.44,116.21
3.01,50,Camera Blocked,Violation,50,High,0.0,0.0,18.66,129.14
3.07,51,Camera Blocked,Violation,50,High,0.0,0.0,18.77,118.83
3.13,52,Camera Blocked,Violation,50,High,0.0,0.0,19.83,125.37
3.19,53,Camera Blocked,Violation,50,High,0.0,0.0,22.18,135.38
3.25,54,Camera Blocked,Violation,50,High,0.0,0.0,26.56,100.74
3.31,55,Camera Blocked,Violation,50,High,0.0,0.0,28.63,104.57
3.37,56,Camera Blocked,Violation,50,High,0.0075,0.0141,31.23,127.82
3.97,66,Excessive Movement Detected,Warning,40,High,0.9347,0.0,64.44,117.65
4.03,67,Excessive Movement Detected,Warning,40,High,0.8461,0.0,60.82,128.2
4.09,68,Excessive Movement Detected,Warning,40,High,0.2718,0.0,50.33,114.05
5.23,87,Camera Blocked,Violation,50,High,0.0,0.0,19.26,83.57
5.29,88,Camera Blocked,Violation,50,High,0.0,0.0,19.14,86.93
5.35,89,Camera Blocked,Violation,50,High,0.0,0.0,18.95,87.07
5.41,90,Camera Blocked,Violation,50,High,0.0,0.0,18.69,88.54
5.47,91,Camera Blocked,Violation,50,High,0.0,0.0,18.53,87.89
5.53,92,Camera Blocked,Violation,50,High,0.0,0.0,18.51,85.19
5.59,93,Camera Blocked,Violation,50,High,0.0,0.0,18.48,85.49
5.65,94,Camera Blocked,Violation,50,High,0.0,0.0,18.53,103.04
5.71,95,Camera Blocked,Violation,50,High,0.0,0.0,18.61,92.0
5.77,96,Camera Blocked,Violation,50,High,0.0,0.0,18.87,85.33
5.83,97,Camera Blocked,Violation,50,High,0.0,0.0,19.09,92.97
5.89,98,Camera Blocked,Violation,50,High,0.0,0.0,19.41,84.43
5.95,99,Camera Blocked,Violation,50,High,0.0,0.0,19.62,85.17
6.01,100,Camera Blocked,Violation,50,High,0.0,0.0,19.66,87.1
6.07,101,Camera Blocked,Violation,50,High,0.0,0.0,19.73,84.98
6.13,102,Camera Blocked,Violation,50,High,0.0,0.0,19.62,84.27
6.19,103,Camera Blocked,Violation,50,High,0.0,0.0,19.56,87.4
6.25,104,Camera Blocked,Violation,50,High,0.0,0.0,19.52,86.49
6.31,105,Camera Blocked,Violation,50,High,0.0,0.0,19.51,85.08
6.37,106,Camera Blocked,Violation,50,High,0.0,0.0,19.55,82.66
6.43,107,Camera Blocked,Violation,50,High,0.0,0.0,19.69,81.78
6.49,108,Camera Blocked,Violation,50,High,0.0,0.0,19.73,82.0
6.55,109,Camera Blocked,Violation,50,High,0.0,0.0,19.74,84.92
6.61,110,Camera Blocked,Violation,50,High,0.0,0.0,19.77,82.19
6.67,111,Camera Blocked,Violation,50,High,0.0,0.0,19.65,81.99
6.73,112,Camera Blocked,Violation,50,High,0.0,0.0,19.59,80.73
6.79,113,Camera Blocked,Violation,50,High,0.0,0.0,19.57,82.59
6.85,114,Camera Blocked,Violation,50,High,0.0,0.0,19.42,78.92
6.91,115,Camera Blocked,Violation,50,High,0.0,0.0,19.2,83.45
6.97,116,Camera Blocked,Violation,50,High,0.0,0.0,18.98,81.87
7.03,117,Camera Blocked,Violation,50,High,0.0,0.0,18.73,83.79
7.09,118,Camera Blocked,Violation,50,High,0.0,0.0,18.49,89.18
7.15,119,Camera Blocked,Violation,50,High,0.0,0.0,18.01,84.22
7.21,120,Camera Blocked,Violation,50,High,0.0,0.0,17.95,80.55
7.27,121,Camera Blocked,Violation,50,High,0.0,0.0,17.6,78.95
7.33,122,Camera Blocked,Violation,50,High,0.0,0.0,17.35,78.96
7.39,123,Camera Blocked,Violation,50,High,0.0,0.0,17.22,79.71
7.45,124,Camera Blocked,Violation,50,High,0.0,0.0,17.06,81.68
7.51,125,Camera Blocked,Violation,50,High,0.0,0.0,16.93,83.58
7.57,126,Camera Blocked,Violation,50,High,0.0,0.0,16.55,80.74
7.63,127,Camera Blocked,Violation,50,High,0.0,0.0,16.37,80.73
7.69,128,Camera Blocked,Violation,50,High,0.0,0.0,16.07,81.52
7.75,129,Camera Blocked,Violation,50,High,0.0,0.0,15.86,84.28
7.81,130,Camera Blocked,Violation,50,High,0.0,0.0,15.63,81.7
7.87,131,Camera Blocked,Violation,50,High,0.0,0.0,15.65,82.58
7.94,132,Camera Blocked,Violation,50,High,0.0,0.0,15.6,80.16
8.0,133,Camera Blocked,Violation,50,High,0.0,0.0,15.51,79.64
8.06,134,Camera Blocked,Violation,50,High,0.0,0.0,15.43,94.55
8.12,135,Camera Blocked,Violation,50,High,0.0,0.0,15.25,78.65
8.18,136,Camera Blocked,Violation,50,High,0.0,0.0,15.03,81.56
8.24,137,Camera Blocked,Violation,50,High,0.0,0.0,14.74,79.05
8.3,138,Camera Blocked,Violation,50,High,0.0,0.0,14.7,80.11
8.36,139,Camera Blocked,Violation,50,High,0.0,0.0,14.63,83.3
8.42,140,Camera Blocked,Violation,50,High,0.0,0.0,13.81,80.25
8.48,141,Camera Blocked,Violation,50,High,0.0,0.0,13.39,79.78
8.54,142,Camera Blocked,Violation,50,High,0.0,0.0,13.26,78.8
8.6,143,Camera Blocked,Violation,50,High,0.0,0.0,13.04,79.34
8.66,144,Camera Blocked,Violation,50,High,0.0,0.0,12.98,97.45
8.72,145,Camera Blocked,Violation,50,High,0.0,0.0,13.05,78.02
8.78,146,Camera Blocked,Violation,50,High,0.0,0.0,13.12,78.02
8.84,147,Camera Blocked,Violation,50,High,0.0,0.0,13.18,78.23
8.9,148,Camera Blocked,Violation,50,High,0.0,0.0,11.52,81.14
8.96,149,Camera Blocked,Violation,50,High,0.0,0.0,2.58,100.08
9.02,150,Camera Blocked,Violation,50,High,0.0,0.0,2.62,128.32
9.08,151,Camera Blocked,Violation,50,High,0.0,0.0,3.15,179.64
9.14,152,Camera Blocked,Violation,50,High,0.0,0.0,4.41,166.17
9.2,153,Camera Blocked,Violation,50,High,0.0,0.0,5.13,179.26
9.26,154,Camera Blocked,Violation,50,High,0.0,0.0,5.62,173.85
9.32,155,Camera Blocked,Violation,50,High,0.0,0.0,6.22,157.06
9.38,156,Camera Blocked,Violation,50,High,0.0,0.0,6.41,179.34
9.44,157,Camera Blocked,Violation,50,High,0.0,0.0,6.65,184.39
9.5,158,Camera Blocked,Violation,50,High,0.0,0.0,7.04,178.98
9.56,159,Camera Blocked,Violation,50,High,0.0,0.0,7.18,170.84
9.62,160,Camera Blocked,Violation,50,High,0.0,0.0,7.2,176.03
9.68,161,Camera Blocked,Violation,50,High,0.0,0.0,7.18,134.21
9.74,162,Camera Blocked,Violation,50,High,0.0,0.0,7.19,137.78
9.8,163,Camera Blocked,Violation,50,High,0.0,0.0,7.23,150.63
9.86,164,Camera Blocked,Violation,50,High,0.0,0.0,7.28,129.57
9.92,165,Camera Blocked,Violation,50,High,0.0,0.0,7.36,160.15
9.98,166,Camera Blocked,Violation,50,High,0.0,0.0,7.51,161.98
10.04,167,Camera Blocked,Violation,50,High,0.0,0.0,7.73,98.11
10.1,168,Camera Blocked,Violation,50,High,0.0,0.0,7.97,99.45
10.16,169,Camera Blocked,Violation,50,High,0.0,0.0,8.18,93.83
10.22,170,Camera Blocked,Violation,50,High,0.0,0.0,8.52,96.33
10.28,171,Camera Blocked,Violation,50,High,0.0,0.0,9.03,96.16
10.34,172,Camera Blocked,Violation,50,High,0.0,0.0,10.76,94.24
10.4,173,Camera Blocked,Violation,50,High,0.0,0.0,11.78,92.95
10.46,174,Camera Blocked,Violation,50,High,0.0,0.0,12.16,93.04
10.52,175,Camera Blocked,Violation,50,High,0.0,0.0,12.51,89.68
10.58,176,Camera Blocked,Violation,50,High,0.0,0.0,12.7,89.86
10.64,177,Camera Blocked,Violation,50,High,0.0,0.0,12.73,85.29
10.7,178,Camera Blocked,Violation,50,High,0.0,0.0,12.57,89.15
10.76,179,Camera Blocked,Violation,50,High,0.0,0.0,12.24,84.38
10.82,180,Camera Blocked,Violation,50,High,0.0,0.0,11.92,97.55
10.88,181,Camera Blocked,Violation,50,High,0.0,0.0,11.55,82.82
10.94,182,Camera Blocked,Violation,50,High,0.0,0.0,11.25,85.57
11.0,183,Camera Blocked,Violation,50,High,0.0,0.0,10.97,83.85
11.06,184,Camera Blocked,Violation,50,High,0.0,0.0,10.77,86.03
11.12,185,Camera Blocked,Violation,50,High,0.0,0.0,10.62,85.0
11.18,186,Camera Blocked,Violation,50,High,0.0,0.0,10.35,85.67
11.24,187,Camera Blocked,Violation,50,High,0.0,0.0,10.22,85.72
11.3,188,Camera Blocked,Violation,50,High,0.0,0.0,10.14,83.95
11.36,189,Camera Blocked,Violation,50,High,0.0,0.0,10.09,85.47
11.42,190,Camera Blocked,Violation,50,High,0.0,0.0,10.11,95.35
11.48,191,Camera Blocked,Violation,50,High,0.0,0.0,10.27,83.5
11.54,192,Camera Blocked,Violation,50,High,0.0,0.0,10.46,84.97
11.6,193,Camera Blocked,Violation,50,High,0.0,0.0,10.59,85.06
11.66,194,Camera Blocked,Violation,50,High,0.0,0.0,10.75,82.52
11.72,195,Camera Blocked,Violation,50,High,0.0,0.0,10.84,84.12
11.78,196,Camera Blocked,Violation,50,High,0.0,0.0,10.91,84.82
11.84,197,Camera Blocked,Violation,50,High,0.0,0.0,10.95,82.94
11.9,198,Camera Blocked,Violation,50,High,0.0,0.0,11.03,84.55
11.96,199,Camera Blocked,Violation,50,High,0.0,0.0,11.07,93.94
12.02,200,Camera Blocked,Violation,50,High,0.0,0.0,11.19,84.68
12.08,201,Camera Blocked,Violation,50,High,0.0,0.0,11.27,85.37
12.14,202,Camera Blocked,Violation,50,High,0.0,0.0,11.35,87.21
12.2,203,Camera Blocked,Violation,50,High,0.0,0.0,11.47,89.48
12.26,204,Camera Blocked,Violation,50,High,0.0,0.0,11.6,87.31
12.32,205,Camera Blocked,Violation,50,High,0.0,0.0,11.78,82.73
12.38,206,Camera Blocked,Violation,50,High,0.0,0.0,11.86,84.58
12.44,207,Camera Blocked,Violation,50,High,0.0,0.0,11.91,83.54
12.5,208,Camera Blocked,Violation,50,High,0.0,0.0,11.88,83.64
12.56,209,Camera Blocked,Violation,50,High,0.0,0.0,11.83,92.1
12.62,210,Camera Blocked,Violation,50,High,0.0,0.0,11.74,81.02
12.68,211,Camera Blocked,Violation,50,High,0.0,0.0,11.65,83.4
12.74,212,Camera Blocked,Violation,50,High,0.0,0.0,11.64,83.81
12.8,213,Camera Blocked,Violation,50,High,0.0,0.0,11.64,83.68
12.86,214,Camera Blocked,Violation,50,High,0.0,0.0,11.64,82.58
12.92,215,Camera Blocked,Violation,50,High,0.0,0.0,11.64,85.87
12.98,216,Camera Blocked,Violation,50,High,0.0,0.0,11.65,81.99
13.04,217,Camera Blocked,Violation,50,High,0.0,0.0,11.72,81.79
13.1,218,Camera Blocked,Violation,50,High,0.0,0.0,11.76,75.74
13.16,219,Camera Blocked,Violation,50,High,0.0,0.0,11.76,78.31
13.23,220,Camera Blocked,Violation,50,High,0.0,0.0,11.73,80.52
