timestamp_seconds,frame_number,violation_type,overall_status,risk_score,risk_level,motion_ratio,frame_difference_score,brightness,latency_ms
3.2,96,Excessive Movement Detected,Warning,15,Low,0.1019,0.0,112.47,43.66
3.23,97,Excessive Movement Detected,Warning,25,Medium,0.1251,0.1705,112.03,46.05
3.27,98,Excessive Movement Detected,Warning,25,Medium,0.1227,0.074,112.12,42.75
3.3,99,Excessive Movement Detected,Warning,15,Low,0.1133,0.1107,112.07,49.68
3.33,100,Excessive Movement Detected,Warning,15,Low,0.1146,0.0531,113.14,48.17
3.37,101,Excessive Movement Detected,Warning,15,Low,0.1102,0.057,113.01,41.34
3.4,102,Excessive Movement Detected,Warning,15,Low,0.0984,0.0,113.01,42.89
3.43,103,Excessive Movement Detected,Warning,15,Low,0.0617,0.173,116.79,50.45
5.27,158,Excessive Movement Detected,Warning,25,Medium,0.1239,0.028,109.48,99.12
5.3,159,Excessive Movement Detected,Warning,25,Medium,0.1296,0.0322,109.56,102.69
5.33,160,Excessive Movement Detected,Warning,25,Medium,0.1404,0.0376,109.7,90.12
5.37,161,Excessive Movement Detected,Warning,25,Medium,0.147,0.0449,110.11,61.28
5.4,162,Excessive Movement Detected,Warning,25,Medium,0.1449,0.0,110.11,71.43
5.43,163,Excessive Movement Detected,Warning,25,Medium,0.1686,0.1133,110.99,86.48
5.47,164,Excessive Movement Detected,Warning,25,Medium,0.1757,0.0541,111.69,84.2
5.5,165,Excessive Movement Detected,Warning,25,Medium,0.1834,0.0449,112.27,86.61
5.53,166,Excessive Movement Detected,Warning,25,Medium,0.1933,0.0386,112.95,61.32
5.57,167,Excessive Movement Detected,Warning,25,Medium,0.197,0.0306,113.12,102.03
5.6,168,Excessive Movement Detected,Warning,25,Medium,0.1918,0.0,113.12,90.57
5.63,169,Excessive Movement Detected,Warning,40,High,0.202,0.054,113.43,82.04
5.67,170,Excessive Movement Detected,Warning,25,Medium,0.1985,0.0075,113.5,86.15
5.7,171,Excessive Movement Detected,Warning,40,High,0.2027,0.0068,113.06,56.2
5.73,172,Excessive Movement Detected,Warning,40,High,0.2021,0.009,112.29,52.52
5.77,173,Excessive Movement Detected,Warning,25,Medium,0.1974,0.0107,111.92,46.42
5.8,174,Excessive Movement Detected,Warning,25,Medium,0.1939,0.0,111.92,48.83
5.83,175,Excessive Movement Detected,Warning,25,Medium,0.1898,0.0322,112.11,57.79
5.87,176,Excessive Movement Detected,Warning,25,Medium,0.1873,0.0,112.19,49.67
5.9,177,Excessive Movement Detected,Warning,25,Medium,0.1821,0.0,112.17,46.56
5.93,178,Excessive Movement Detected,Warning,25,Medium,0.1761,0.0,112.27,45.05
5.97,179,Excessive Movement Detected,Warning,25,Medium,0.1674,0.0,112.29,56.31
6.0,180,Excessive Movement Detected,Warning,25,Medium,0.1604,0.0,112.29,49.52
6.03,181,Excessive Movement Detected,Warning,25,Medium,0.1509,0.0,112.42,45.68
6.07,182,Excessive Movement Detected,Warning,25,Medium,0.1432,0.0,112.44,46.17
6.1,183,Excessive Movement Detected,Warning,25,Medium,0.1364,0.0,112.38,55.66
6.13,184,Excessive Movement Detected,Warning,25,Medium,0.129,0.0,112.24,53.81
6.17,185,Excessive Movement Detected,Warning,15,Low,0.1194,0.0001,112.12,45.26
6.2,186,Excessive Movement Detected,Warning,15,Low,0.1162,0.0,112.12,47.0
6.23,187,Excessive Movement Detected,Warning,15,Low,0.1082,0.0086,111.76,68.7
6.27,188,Excessive Movement Detected,Warning,15,Low,0.0995,0.0,111.62,51.82
6.3,189,Excessive Movement Detected,Warning,15,Low,0.0908,0.0001,111.4,47.29
6.33,190,Excessive Movement Detected,Warning,15,Low,0.0809,0.0,111.31,44.5
